nameWithOwner,url,stargazerCount,primaryLanguage,mergedAndClosedPRsCount,prDataCollected
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,77110,Python,3895,true
elastic/elasticsearch,https://github.com/elastic/elasticsearch,76638,Java,102284,true
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,76547,JavaScript,695,false
ventoy/Ventoy,https://github.com/ventoy/Ventoy,76411,C,467,true
lobehub/lobehub,https://github.com/lobehub/lobehub,76059,TypeScript,6885,true
sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,76033,,1013,true
typicode/json-server,https://github.com/typicode/json-server,75540,JavaScript,407,true
nestjs/nest,https://github.com/nestjs/nest,75395,TypeScript,10665,true
awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,75106,,296,true
dair-ai/Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,74213,MDX,405,true
redis/redis,https://github.com/redis/redis,74147,C,7159,true
unionlabs/union,https://github.com/unionlabs/union,74104,Rust,3440,true
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,73914,C++,1679,true
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,73599,,4027,true
grafana/grafana,https://github.com/grafana/grafana,73594,TypeScript,76538,true
openai/openai-cookbook,https://github.com/openai/openai-cookbook,73255,Jupyter Notebook,1549,false
enaqx/awesome-react,https://github.com/enaqx/awesome-react,73148,,1416,true
twitter/the-algorithm,https://github.com/twitter/the-algorithm,73113,Scala,380,false
ocornut/imgui,https://github.com/ocornut/imgui,73009,C++,1534,true
apache/superset,https://github.com/apache/superset,72699,TypeScript,22237,true
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,72660,Python,9752,true
PKUFlyingPig/cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,72624,HTML,376,true
python/cpython,https://github.com/python/cpython,72585,Python,68799,true
thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,72552,,314,true
abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,72442,TypeScript,168,true
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,72391,Python,1066,true
daytonaio/daytona,https://github.com/daytonaio/daytona,72377,TypeScript,3321,true
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,72375,TypeScript,839,true
obsproject/obs-studio,https://github.com/obsproject/obs-studio,72164,C,7453,true
caddyserver/caddy,https://github.com/caddyserver/caddy,72107,Go,2847,true
